breed,breed colour
Aloha Chickens,
Altsteirer Styrian Hen,black
Altsteirer Styrian Hen,red
Altsteirer Styrian Hen,white
Amber Star Hybrid,gold
Amber Star Hybrid,white
Amber Whites,white
Ameraucana,black
Ameraucana,blue
Ameraucana,brown
Ameraucana,gold
Ameraucana,lavender
Ameraucana,red
Ameraucana,salmon
Ameraucana,silver
Ameraucana,white
American Bresse,black
American Bresse,blue
American Bresse,white
American Game,any
American Game Bantams,
Ancona,
Andalusian,black
Andalusian,blue
Appenzeller Spitzhauben,black
Appenzeller Spitzhauben,gold
Appenzeller Spitzhauben,red
Appenzeller Spitzhauben,silver
Arau-ameraucana,black
Arau-ameraucana,blue
Arau-ameraucana,gold
Arau-ameraucana,red
Arau-ameraucana,silver
Arau-ameraucana,white
Araucana,any
Aseel,black
Aseel,blue
Aseel,brown
Aseel,red
Aseel,white
Australorp,black
Australorp,blue
Australorp,tan
Australorp,white
Ayam Cemani,black
Bantam,blue
Bantam,white
Bantam Barred Rock,
Bantam Orpington,black
Bantam Orpington,blue
Bantam Orpington,white
Bantam Partridge Wyandotte,black
Bantam Partridge Wyandotte,white
Barbezieux Chicken,
Barnevelder,brown
Barnyard Mix,any
Barred Rock,black
Barred Rock,red
Barred Rock,white
Belgian Cuckoo Malines,
Belgian D' Anver,black
Belgian D' Anver,blue
Belgian D' Anver,porcelain
Belgian D' Anver,white
Belgian D' Uccle,black
Belgian D' Uccle,blue
Belgian D' Uccle,gold
Belgian D' Uccle,porcelain
Belgian D' Uccle,white
Belgian Watermaal,
Bielefelder,black
Bielefelder,red
Bielefelder,white
Black Sex Link Chicken,black
Black Sex Link Chicken,orange
Blue Isbar,
Booted,black
Booted,porcelain
Booted,white
Brabanter,black
Brabanter,blue
Brabanter,cream
Brabanter,gold
Brabanter,lavender
Brabanter,silver
Brabanter,white
Brabanter,yellow
Brahma,black
Brahma,blue
Brahma,brown
Brahma,gold
Brahma,white
Brahma - Bantam,brown
Bredas,black
Bredas,blue
British Tailed Araucana,black
British Tailed Araucana,blue
British Tailed Araucana,gold
British Tailed Araucana,lavender
British Tailed Araucana,red
British Tailed Araucana,silver
British Tailed Araucana,white
Brown Leghorn,brown
Brown Leghorn,gold
Brown Leghorn,orange
Brown Leghorn,red
Buckeye,
Buff Cochin,
Buff Orpington X Black Australorp,black
Buff Orpington X Easter Egger,black
Buff Orpington X Easter Egger,red
Buff Orpington X Gold Laced Wyandotte,
California Grey,black
California Grey,white
Campine,gold
Campine,silver
Carolina Blue Sex-link Ee,blue
Catalana,black
Chantecler,white
Chicken Phoenix - Bantam,black
Chicken Phoenix - Bantam,silver
Chicken Phoenix - Bantam,white
Cochin,black
Cochin,blue
Cochin,red
Cochin,white
Colombian Rock,
Columbian Blacktails,black
Columbian Blacktails,brown
Cornish,blue
Cornish,brown
Cornish,red
Cornish,white
Cornish Bantams,brown
Cornish Bantams,red
Cornish Bantams,white
Cornish Cross,white
Cream Brabanter,black
Cream Brabanter,white
Crevecoeur,black
Crevecoeur,blue
Cubalaya,black
Cubalaya,red
Cubalaya,white
Cuckoo Maran,black
Cuckoo Maran,silver
Cuckoo Maran,white
Delaware,any
Delaware Blue Hen,black
Delaware Blue Hen,blue
Derbyshire Redcap,
Dominique,any
Dorking,black
Dorking,gray
Dorking,red
Dorking,silver
Dorking,white
Dutch,black
Dutch,blue
Dutch,brown
Dutch,cream
Dutch,lavender
Dutch,silver
Dutch,white
East Frisian Gull - An Old World Landrace,
Easter Egger Bantam,any
Easter Eggers,any
Euskal Oiloa - Marraduna Basque,
Favacauna,
Faverolles,any
Fayoumis,any
Flarry Eyed Gray,
Freedom Ranger,
Frizzle,any
Gallo Giro,silver
Gallo Kelso,red
Genetic Hackle,
Giro Gamefowl,
Gold Star,
Golden Campines,
Golden Comet,red
Golden Comet,white
Golden Comet,yellow
Golden Penciled Hamburg,
Golden Sex Link,
Greek,
Green Queen,any
Hamburg,black
Hamburg,gold
Hamburg,silver
Hamburg,white
Hmong Chickens ,any
Holland,red
Holland,white
Houdan,white
Hy-line Layers,
Icelandic Or Viking Hen,any
Iowa Blue,silver
Ixworth,white
Japanese,any
Java,black
Java,white
Jersey Giant,black
Jersey Giant,blue
Jersey Giant,white
Ko Shamo,
Kraienk̦ppe,any
La Fleche,black
La Fleche,blue
La Fleche,white
Lakenvelder,any
Langshan,black
Langshan,blue
Langshan,red
Langshan,white
Lavender Orpington Bantam,lavender
Lavender Orpington Bantam,white
Legbar,
Leghorn,black
Leghorn,blue
Leghorn,brown
Leghorn,red
Leghorn,silver
Leghorn,white
Leghorn - Bantam,black
Leghorn - Bantam,blue
Leghorn - Bantam,brown
Leghorn - Bantam,red
Leghorn - Bantam,silver
Leghorn - Bantam,white
Lohman Brown,brown
Lohman Brown,silver
Lohman Brown,white
Malay,any
Marans,any
Minorca,black
Minorca,blue
Minorca,red
Minorca,white
Mixing Chickens,
Modern Game,black
Modern Game,blue
Modern Game,brown
Modern Game,gold
Modern Game,red
Modern Game,silver
Modern Game,white
Mottled Cochin ,red
Naked Neck-turken,black
Naked Neck-turken,blue
Naked Neck-turken,red
Naked Neck-turken,silver
Naked Neck-turken,white
Nankin Bantams,
New Hampshire,red
Norfolk Grey,
Northern California Poulet Bleu,white
Norwegian Jaerhon,brown
O Shamo,
Ohiki,black
Ohiki,gold
Ohiki,red
Ohiki,silver
Ohiki,white
Olandsk Dwarf,black
Olandsk Dwarf,blue
Olandsk Dwarf,red
Olandsk Dwarf,white
Old English Game Bantam,
Olive Egger,
Orpington,black
Orpington,blue
Orpington,white
Partridge Plymouth Rock,brown
Pavlovskaja,any
Penedesenca,black
Phoenix,black
Phoenix,blue
Phoenix,gold
Phoenix,red
Phoenix,silver
Phoenix,white
Pita Pinta ,black
Pita Pinta ,red
Pita Pinta ,white
Plymouth Rock,black
Plymouth Rock,blue
Plymouth Rock,red
Plymouth Rock,silver
Plymouth Rock,white
Polish,black
Polish,blue
Polish,gold
Polish,silver
Polish,white
Porcelain D' Uccle Bantam,porcelain
Production,red
Production,yellow
Production Black ,black
Production Black ,red
Production Black ,silver
Production Reds,red
Pyncheon,
Queen Silvia,
Red Sex Link,red
Red Sussex Rooster - Rooster Booster,
Red-breasted Rosecomb Bantam,red
Rhode Island Red,red
Rhode Island Red Bantam,red
Rhode Island White,white
Rhodebar,any
Rosecomb,black
Rosecomb,blue
Rosecomb,brown
Rosecomb,red
Rosecomb,white
Russian Crested,any
Russian Orloff,black
Russian Orloff,white
Sagitta Chiken,
Salmon Favorelle,blue
Salmon Favorelle,salmon
Sapphire Gem ,blue
Sebright,gold
Sebright,silver
Serama,any
Showgirl,black
Showgirl,blue
Showgirl,lavender
Showgirl,white
Sicilian Buttercup,any
Sienna Star,gold
Sienna Star,silver
Silkie,any
Silver Sussex,brown
Silver Sussex,red
Silver Sussex,silver
Silver Sussex,white
Sizzle,black
Sizzle,blue
Sizzle,gray
Sizzle,white
Smaaland,gray
Smaaland,red
Smaaland,white
Star,black
Star,red
Sulmtaler,
Sultan,blue
Sultan,white
Sumatra,black
Sumatra,tan
Super Blue Egg Layer,black
Super Blue Egg Layer,white
Sussex,
Svart Hona,black
Swedish Flower Chicken,
Transylvanian Naked Neck ,
Vorwerk,any
Welbar,
Welsummer,red
White Bresse,
White Faced Black Spanish,black
White Faced Black Spanish,brown
White Faced Black Spanish,gray
White Faced Black Spanish,green
White Faced Black Spanish,red
White Faced Black Spanish,tan
White Faced Black Spanish,white
White Star Hybrid,white
Whiting True Blue,
Whiting True Green,red
Wyandotte,blue
Wyandotte,gold
Wyandotte,red
Wyandotte,silver
Yokohama,red
Yokohama,white
